time,N1,N2,N3,N4,N5,N6,N7
11.4,6833.95,3960.76,8537.2,9645.29,9706.19,5383.29,8596.84
11.45,6835.34,3962.15,8538.6,9646.66,9707.57,5384.68,8598.24
11.5,6836.72,3963.54,8540,9648.03,9708.96,5386.08,8599.65
11.55,6838.11,3964.93,8541.4,9649.41,9710.35,5387.47,8601.05
11.6,6839.5,3966.33,8542.8,9650.78,9711.74,5388.87,8602.46
11.65,6840.89,3967.72,8544.2,9652.15,9713.13,5390.26,8603.86
11.7,6842.28,3969.11,8545.6,9653.52,9714.52,5391.66,8605.27
11.75,6843.67,3970.5,8547,9654.9,9715.91,5393.05,8606.67
11.8,6845.06,3971.89,8548.41,9656.27,9717.3,5394.45,8608.08
11.85,6846.45,3973.29,8549.81,9657.64,9718.69,5395.84,8609.48
11.9,6847.84,3974.68,8551.21,9659.02,9720.07,5397.23,8610.89
11.95,6849.22,3976.07,8552.61,9660.39,9721.46,5398.63,8612.29
12,6850.61,3977.46,8554.01,9661.76,9722.85,5400.02,8613.7
12.05,6852,3978.85,8555.41,9663.14,9724.24,5401.42,8615.1
12.1,6853.39,3980.24,8556.81,9664.51,9725.63,5402.81,8616.51
12.15,6854.78,3981.64,8558.21,9665.88,9727.02,5404.21,8617.91
12.2,6856.17,3983.03,8559.61,9667.26,9728.41,5405.6,8619.32
12.25,6857.56,3984.42,8561.02,9668.63,9729.8,5407,8620.72
12.3,6858.95,3985.81,8562.42,9670,9731.19,5408.39,8622.13
12.35,6860.34,3987.2,8563.82,9671.38,9732.57,5409.78,8623.53
12.4,6861.72,3988.6,8565.22,9672.75,9733.96,5411.18,8624.94
12.45,6863.11,3989.99,8566.62,9674.12,9735.35,5412.57,8626.34
12.5,6864.5,3991.38,8568.02,9675.49,9736.74,5413.97,8627.75
12.55,6865.89,3992.77,8569.42,9676.87,9738.13,5415.36,8629.15
12.6,6867.28,3994.16,8570.82,9678.24,9739.52,5416.76,8630.56
12.65,6868.67,3995.55,8572.22,9679.61,9740.91,5418.15,8631.96
12.7,6870.06,3996.95,8573.63,9680.99,9742.3,5419.55,8633.37
12.75,6871.45,3998.34,8575.03,9682.36,9743.69,5420.94,8634.77
12.8,6872.84,3999.73,8576.43,9683.73,9745.07,5422.33,8636.18
12.85,6874.22,4001.12,8577.83,9685.11,9746.46,5423.73,8637.58
12.9,6875.61,4002.51,8579.23,9686.48,9747.85,5425.12,8638.99
12.95,6877,4003.91,8580.63,9687.85,9749.24,5426.52,8640.39
13,6878.39,4005.3,8582.03,9689.23,9750.63,5427.91,8641.8
13.05,6879.78,4006.69,8583.43,9690.6,9752.02,5429.31,8643.2
13.1,6881.17,4008.08,8584.83,9691.97,9753.41,5430.7,8644.61
13.15,6882.56,4009.47,8586.24,9693.35,9754.8,5432.1,8646.01
13.2,6883.95,4010.87,8587.64,9694.72,9756.19,5433.49,8647.42
13.25,6885.34,4012.26,8589.04,9696.09,9757.57,5434.88,8648.82
13.3,6886.72,4013.65,8590.44,9697.46,9758.96,5436.28,8650.23
13.35,6888.11,4015.04,8591.84,9698.84,9760.35,5437.67,8651.63
13.4,6889.5,4016.43,8593.24,9700.21,9761.74,5439.07,8653.04
13.45,6890.89,4017.82,8594.64,9701.58,9763.13,5440.46,8654.44
13.5,6892.28,4019.22,8596.04,9702.96,9764.52,5441.86,8655.85
13.55,6893.67,4020.61,8597.44,9704.33,9765.91,5443.25,8657.25
13.6,6895.06,4022,8598.85,9705.7,9767.3,5444.65,8658.66
13.65,6896.45,4023.39,8600.25,9707.08,9768.69,5446.04,8660.06
13.7,6897.84,4024.78,8601.65,9708.45,9770.07,5447.43,8661.47
13.75,6899.22,4026.18,8603.05,9709.82,9771.46,5448.83,8662.88
13.8,6900.61,4027.57,8604.45,9711.2,9772.85,5450.22,8664.28
13.85,6902,4028.96,8605.85,9712.57,9774.24,5451.62,8665.69
13.9,6903.39,4030.35,8607.25,9713.94,9775.63,5453.01,8667.09
13.95,6904.78,4031.74,8608.65,9715.32,9777.02,5454.41,8668.5
14,6906.17,4033.13,8610.05,9716.69,9778.41,5455.8,8669.9
14.05,6907.56,4034.53,8611.46,9718.06,9779.8,5457.2,8671.31
14.1,6908.95,4035.92,8612.86,9719.44,9781.19,5458.59,8672.71
14.15,6910.34,4037.31,8614.26,9720.81,9782.57,5459.98,8674.12
14.2,6911.72,4038.7,8615.66,9722.18,9783.96,5461.38,8675.52
14.25,6913.11,4040.09,8617.06,9723.55,9785.35,5462.77,8676.93
14.3,6914.5,4041.49,8618.46,9724.93,9786.74,5464.17,8678.33
14.35,6915.89,4042.88,8619.86,9726.3,9788.13,5465.56,8679.74
14.4,6917.28,4044.27,8621.26,9727.67,9789.52,5466.96,8681.14
14.45,6918.67,4045.66,8622.66,9729.05,9790.91,5468.35,8682.55
14.5,6920.06,4047.05,8624.07,9730.42,9792.3,5469.75,8683.95
14.55,6921.45,4048.44,8625.47,9731.79,9793.69,5471.14,8685.36
14.6,6922.84,4049.84,8626.87,9733.17,9795.07,5472.53,8686.76
14.65,6924.22,4051.23,8628.27,9734.54,9796.46,5473.93,8688.17
14.7,6925.61,4052.62,8629.67,9735.91,9797.85,5475.32,8689.57
14.75,6927,4054.01,8631.07,9737.29,9799.24,5476.72,8690.98
