time,N1,N2,N3,N4,N5,N6,N7,N8,N9
7.45,6864.1,5895.61,4680.95,7327.87,508.785,9613.84,276.449,2566.24,3151.6
7.5,6865.51,5897,4682.35,7329.26,510.173,9615.23,277.832,2567.63,3153
7.55,6866.91,5898.39,4683.74,7330.65,511.562,9616.61,279.215,2569.02,3154.41
7.6,6868.32,5899.78,4685.14,7332.04,512.951,9618,280.598,2570.41,3155.81
7.65,6869.72,5901.17,4686.53,7333.44,514.34,9619.39,281.981,2571.8,3157.21
7.7,6871.13,5902.56,4687.92,7334.83,515.729,9620.78,283.364,2573.19,3158.62
7.75,6872.53,5903.95,4689.32,7336.22,517.118,9622.17,284.747,2574.58,3160.02
7.8,6873.93,5905.33,4690.71,7337.61,518.507,9623.56,286.131,2575.97,3161.42
7.85,6875.34,5906.72,4692.11,7339.01,519.896,9624.94,287.514,2577.36,3162.83
7.9,6876.74,5908.11,4693.5,7340.4,521.285,9626.33,288.897,2578.75,3164.23
7.95,6878.15,5909.5,4694.89,7341.79,522.673,9627.72,290.28,2580.14,3165.63
8,6879.55,5910.89,4696.29,7343.19,524.062,9629.11,291.663,2581.53,3167.04
8.05,6880.95,5912.28,4697.68,7344.58,525.451,9630.5,293.046,2582.92,3168.44
8.1,6882.36,5913.67,4699.08,7345.97,526.84,9631.89,294.429,2584.31,3169.84
8.15,6883.76,5915.06,4700.47,7347.36,528.229,9633.28,295.812,2585.71,3171.25
8.2,6885.17,5916.45,4701.87,7348.76,529.618,9634.66,297.195,2587.1,3172.65
8.25,6886.57,5917.83,4703.26,7350.15,531.007,9636.05,298.578,2588.49,3174.05
8.3,6887.97,5919.22,4704.65,7351.54,532.396,9637.44,299.961,2589.88,3175.46
8.35,6889.38,5920.61,4706.05,7352.93,533.785,9638.83,301.344,2591.27,3176.86
8.4,6890.78,5922,4707.44,7354.33,535.173,9640.22,302.728,2592.66,3178.26
8.45,6892.19,5923.39,4708.84,7355.72,536.562,9641.61,304.111,2594.05,3179.67
8.5,6893.59,5924.78,4710.23,7357.11,537.951,9642.99,305.494,2595.44,3181.07
8.55,6894.99,5926.17,4711.62,7358.51,539.34,9644.38,306.877,2596.83,3182.47
8.6,6896.4,5927.56,4713.02,7359.9,540.729,9645.77,308.26,2598.22,3183.88
8.65,6897.8,5928.95,4714.41,7361.29,542.118,9647.16,309.643,2599.61,3185.28
8.7,6899.21,5930.33,4715.81,7362.68,543.507,9648.55,311.026,2601,3186.68
8.75,6900.61,5931.72,4717.2,7364.08,544.896,9649.94,312.409,2602.39,3188.09
8.8,6902.02,5933.11,4718.59,7365.47,546.285,9651.32,313.792,2603.78,3189.49
8.85,6903.42,5934.5,4719.99,7366.86,547.673,9652.71,315.175,2605.17,3190.89
8.9,6904.82,5935.89,4721.38,7368.25,549.062,9654.1,316.558,2606.56,3192.3
8.95,6906.23,5937.28,4722.78,7369.65,550.451,9655.49,317.942,2607.95,3193.7
9,6907.63,5938.67,4724.17,7371.04,551.84,9656.88,319.325,2609.34,3195.1
9.05,6909.04,5940.06,4725.57,7372.43,553.229,9658.27,320.708,2610.73,3196.51
9.1,6910.44,5941.45,4726.96,7373.83,554.618,9659.66,322.091,2612.12,3197.91
9.15,6911.84,5942.83,4728.35,7375.22,556.007,9661.04,323.474,2613.51,3199.31
9.2,6913.25,5944.22,4729.75,7376.61,557.396,9662.43,324.857,2614.9,3200.72
9.25,6914.65,5945.61,4731.14,7378,558.785,9663.82,326.24,2616.29,3202.12
9.3,6916.06,5947,4732.54,7379.4,560.173,9665.21,327.623,2617.68,3203.52
9.35,6917.46,5948.39,4733.93,7380.79,561.562,9666.6,329.006,2619.07,3204.93
9.4,6918.86,5949.78,4735.32,7382.18,562.951,9667.99,330.389,2620.46,3206.33
9.45,6920.27,5951.17,4736.72,7383.57,564.34,9669.37,331.773,2621.85,3207.73
9.5,6921.67,5952.56,4738.11,7384.97,565.729,9670.76,333.156,2623.24,3209.14
9.55,6923.08,5953.95,4739.51,7386.36,567.118,9672.15,334.539,2624.63,3210.54
9.6,6924.48,5955.33,4740.9,7387.75,568.507,9673.54,335.922,2626.02,3211.94
9.65,6925.88,5956.72,4742.3,7389.15,569.896,9674.93,337.305,2627.41,3213.35
9.7,6927.29,5958.11,4743.69,7390.54,571.285,9676.32,338.688,2628.8,3214.75
9.75,6928.69,5959.5,4745.08,7391.93,572.673,9677.7,340.071,2630.19,3216.16
9.8,6930.1,5960.89,4746.48,7393.32,574.062,9679.09,341.454,2631.58,3217.56
9.85,6931.5,5962.28,4747.87,7394.72,575.451,9680.48,342.837,2632.97,3218.96
9.9,6932.91,5963.67,4749.27,7396.11,576.84,9681.87,344.22,2634.37,3220.37
9.95,6934.31,5965.06,4750.66,7397.5,578.229,9683.26,345.604,2635.76,3221.77
10,6935.71,5966.45,4752.05,7398.89,579.618,9684.65,346.987,2637.15,3223.17
10.05,6937.12,5967.83,4753.45,7400.29,581.007,9686.04,348.37,2638.54,3224.58
10.1,6938.52,5969.22,4754.84,7401.68,582.396,9687.42,349.753,2639.93,3225.98
10.15,6939.93,5970.61,4756.24,7403.07,583.785,9688.81,351.136,2641.32,3227.38
10.2,6941.33,5972,4757.63,7404.46,585.173,9690.2,352.519,2642.71,3228.79
10.25,6942.73,5973.39,4759.03,7405.86,586.562,9691.59,353.902,2644.1,3230.19
10.3,6944.14,5974.78,4760.42,7407.25,587.951,9692.98,355.285,2645.49,3231.59
10.35,6945.54,5976.17,4761.81,7408.64,589.34,9694.37,356.668,2646.88,3233
10.4,6946.95,5977.56,4763.21,7410.04,590.729,9695.75,358.051,2648.27,3234.4
10.45,6948.35,5978.95,4764.6,7411.43,592.118,9697.14,359.435,2649.66,3235.8
10.5,6949.75,5980.33,4766,7412.82,593.507,9698.53,360.818,2651.05,3237.21
10.55,6951.16,5981.72,4767.39,7414.21,594.896,9699.92,362.201,2652.44,3238.61
10.6,6952.56,5983.11,4768.79,7415.61,596.285,9701.31,363.584,2653.83,3240.01
10.65,6953.97,5984.5,4770.18,7417,597.673,9702.7,364.967,2655.22,3241.42
10.7,6955.37,5985.89,4771.57,7418.39,599.062,9704.08,366.35,2656.61,3242.82
10.75,6956.78,5987.28,4772.97,7419.78,600.451,9705.47,367.733,2658,3244.22
10.8,6958.18,5988.67,4774.36,7421.18,601.84,9706.86,369.116,2659.39,3245.63
