time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
4.3,5067.82,3137.32,1003.1,6694.14,7822.53,8626.99,3064.11,9905.82,4102.78,2136.8,5164.49,6872.89,8737.26,600.237,8113.5
4.35,5069.19,3138.71,1004.49,6695.51,7823.92,8628.39,3065.51,9907.21,4104.17,2138.21,5165.87,6874.29,8738.65,601.641,8114.89
4.4,5070.56,3140.1,1005.88,6696.89,7825.31,8629.78,3066.9,9908.6,4105.56,2139.63,5167.26,6875.69,8740.04,603.046,8116.29
4.45,5071.93,3141.5,1007.27,6698.26,7826.7,8631.17,3068.29,9910,4106.95,2141.04,5168.65,6877.09,8741.43,604.45,8117.68
4.5,5073.3,3142.89,1008.66,6699.64,7828.09,8632.56,3069.69,9911.39,4108.34,2142.45,5170.04,6878.49,8742.82,605.855,8119.07
4.55,5074.66,3144.28,1010.05,6701.01,7829.48,8633.95,3071.08,9912.78,4109.73,2143.87,5171.43,6879.89,8744.2,607.26,8120.46
4.6,5076.03,3145.68,1011.43,6702.39,7830.88,8635.34,3072.47,9914.17,4111.11,2145.28,5172.82,6881.29,8745.59,608.664,8121.85
4.65,5077.4,3147.07,1012.82,6703.76,7832.27,8636.73,3073.87,9915.56,4112.5,2146.7,5174.21,6882.69,8746.98,610.069,8123.24
4.7,5078.77,3148.47,1014.21,6705.14,7833.66,8638.12,3075.26,9916.95,4113.89,2148.11,5175.6,6884.09,8748.37,611.473,8124.63
4.75,5080.13,3149.86,1015.6,6706.52,7835.05,8639.51,3076.65,9918.34,4115.28,2149.52,5176.98,6885.49,8749.76,612.878,8126.02
4.8,5081.5,3151.25,1016.99,6707.89,7836.44,8640.9,3078.05,9919.73,4116.67,2150.94,5178.37,6886.89,8751.15,614.282,8127.41
4.85,5082.87,3152.65,1018.38,6709.27,7837.83,8642.3,3079.44,9921.13,4118.06,2152.35,5179.76,6888.29,8752.54,615.687,8128.81
4.9,5084.24,3154.04,1019.77,6710.64,7839.22,8643.69,3080.83,9922.52,4119.45,2153.76,5181.15,6889.69,8753.93,617.092,8130.2
4.95,5085.61,3155.44,1021.16,6712.02,7840.61,8645.08,3082.23,9923.91,4120.84,2155.18,5182.54,6891.09,8755.32,618.496,8131.59
5,5086.97,3156.83,1022.55,6713.39,7842.01,8646.47,3083.62,9925.3,4122.22,2156.59,5183.93,6892.49,8756.7,619.901,8132.98
5.05,5088.34,3158.22,1023.93,6714.77,7843.4,8647.86,3085.01,9926.69,4123.61,2158.01,5185.32,6893.88,8758.09,621.305,8134.37
5.1,5089.71,3159.62,1025.32,6716.14,7844.79,8649.25,3086.41,9928.08,4125,2159.42,5186.7,6895.28,8759.48,622.71,8135.76
5.15,5091.08,3161.01,1026.71,6717.52,7846.18,8650.64,3087.8,9929.47,4126.39,2160.83,5188.09,6896.68,8760.87,624.115,8137.15
5.2,5092.44,3162.41,1028.1,6718.9,7847.57,8652.03,3089.2,9930.86,4127.78,2162.25,5189.48,6898.08,8762.26,625.519,8138.54
5.25,5093.81,3163.8,1029.49,6720.27,7848.96,8653.42,3090.59,9932.26,4129.17,2163.66,5190.87,6899.48,8763.65,626.924,8139.93
5.3,5095.18,3165.19,1030.88,6721.65,7850.35,8654.81,3091.98,9933.65,4130.56,2165.07,5192.26,6900.88,8765.04,628.328,8141.33
5.35,5096.55,3166.59,1032.27,6723.02,7851.75,8656.21,3093.38,9935.04,4131.95,2166.49,5193.65,6902.28,8766.43,629.733,8142.72
5.4,5097.92,3167.98,1033.66,6724.4,7853.14,8657.6,3094.77,9936.43,4133.34,2167.9,5195.04,6903.68,8767.82,631.138,8144.11
5.45,5099.28,3169.38,1035.05,6725.77,7854.53,8658.99,3096.16,9937.82,4134.72,2169.32,5196.43,6905.08,8769.2,632.542,8145.5
5.5,5100.65,3170.77,1036.43,6727.15,7855.92,8660.38,3097.56,9939.21,4136.11,2170.73,5197.81,6906.48,8770.59,633.947,8146.89
5.55,5102.02,3172.16,1037.82,6728.52,7857.31,8661.77,3098.95,9940.6,4137.5,2172.14,5199.2,6907.88,8771.98,635.351,8148.28
5.6,5103.39,3173.56,1039.21,6729.9,7858.7,8663.16,3100.34,9941.99,4138.89,2173.56,5200.59,6909.28,8773.37,636.756,8149.67
5.65,5104.76,3174.95,1040.6,6731.28,7860.09,8664.55,3101.74,9943.38,4140.28,2174.97,5201.98,6910.68,8774.76,638.161,8151.06
5.7,5106.12,3176.35,1041.99,6732.65,7861.48,8665.94,3103.13,9944.78,4141.67,2176.39,5203.37,6912.08,8776.15,639.565,8152.45
5.75,5107.49,3177.74,1043.38,6734.03,7862.88,8667.33,3104.52,9946.17,4143.06,2177.8,5204.76,6913.48,8777.54,640.97,8153.85
5.8,5108.86,3179.13,1044.77,6735.4,7864.27,8668.72,3105.92,9947.56,4144.45,2179.21,5206.15,6914.88,8778.93,642.374,8155.24
5.85,5110.23,3180.53,1046.16,6736.78,7865.66,8670.12,3107.31,9948.95,4145.83,2180.63,5207.54,6916.27,8780.32,643.779,8156.63
5.9,5111.59,3181.92,1047.55,6738.15,7867.05,8671.51,3108.71,9950.34,4147.22,2182.04,5208.92,6917.67,8781.7,645.184,8158.02
5.95,5112.96,3183.32,1048.93,6739.53,7868.44,8672.9,3110.1,9951.73,4148.61,2183.45,5210.31,6919.07,8783.09,646.588,8159.41
6,5114.33,3184.71,1050.32,6740.9,7869.83,8674.29,3111.49,9953.12,4150,2184.87,5211.7,6920.47,8784.48,647.993,8160.8
6.05,5115.7,3186.1,1051.71,6742.28,7871.22,8675.68,3112.89,9954.51,4151.39,2186.28,5213.09,6921.87,8785.87,649.397,8162.19
6.1,5117.07,3187.5,1053.1,6743.66,7872.62,8677.07,3114.28,9955.91,4152.78,2187.7,5214.48,6923.27,8787.26,650.802,8163.58
