time,N1,N2,N3,N4,N5
23.15,8460.45,2219.3,7273.31,8215.64,4695.89
23.2,8461.83,2220.7,7274.7,8217.02,4697.28
23.25,8463.22,2222.09,7276.09,8218.4,4698.67
23.3,8464.61,2223.48,7277.48,8219.79,4700.06
23.35,8466,2224.88,7278.88,8221.17,4701.46
23.4,8467.39,2226.27,7280.27,8222.55,4702.85
23.45,8468.78,2227.66,7281.66,8223.93,4704.24
23.5,8470.17,2229.05,7283.05,8225.31,4705.63
23.55,8471.56,2230.45,7284.44,8226.7,4707.03
23.6,8472.95,2231.84,7285.83,8228.08,4708.42
23.65,8474.33,2233.23,7287.22,8229.46,4709.81
23.7,8475.72,2234.62,7288.62,8230.84,4711.2
23.75,8477.11,2236.02,7290.01,8232.23,4712.6
23.8,8478.5,2237.41,7291.4,8233.61,4713.99
23.85,8479.89,2238.8,7292.79,8234.99,4715.38
23.9,8481.28,2240.2,7294.18,8236.37,4716.77
23.95,8482.67,2241.59,7295.57,8237.76,4718.17
24,8484.06,2242.98,7296.96,8239.14,4719.56
24.05,8485.45,2244.37,7298.36,8240.52,4720.95
24.1,8486.83,2245.77,7299.75,8241.9,4722.34
24.15,8488.22,2247.16,7301.14,8243.29,4723.74
24.2,8489.61,2248.55,7302.53,8244.67,4725.13
