time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21
3.95,7747.55,2683.16,7580.45,3819.61,2287.31,7935.17,5808.38,8387.94,6249.62,8206.41,6647.42,6838.79,826.014,2874.88,2168.34,492.1,7350.95,1159.99,8587.77,5283.36,4162.46
4,7748.93,2684.56,7581.84,3821,2288.7,7936.56,5809.77,8389.32,6251.01,8207.8,6648.81,6840.18,827.428,2876.27,2169.71,493.496,7352.34,1161.38,8589.16,5284.75,4163.85
4.05,7750.31,2685.96,7583.23,3822.39,2290.09,7937.95,5811.17,8390.7,6252.4,8209.19,6650.21,6841.57,828.841,2877.65,2171.08,494.891,7353.73,1162.77,8590.54,5286.14,4165.24
4.1,7751.69,2687.36,7584.62,3823.78,2291.48,7939.34,5812.56,8392.08,6253.79,8210.58,6651.6,6842.96,830.255,2879.04,2172.46,496.286,7355.12,1164.16,8591.93,5287.53,4166.64
4.15,7753.08,2688.76,7586.01,3825.17,2292.86,7940.73,5813.95,8393.46,6255.18,8211.97,6652.99,6844.35,831.668,2880.43,2173.83,497.681,7356.51,1165.55,8593.32,5288.92,4168.03
4.2,7754.46,2690.16,7587.39,3826.56,2294.25,7942.12,5815.34,8394.84,6256.57,8213.36,6654.38,6845.74,833.082,2881.82,2175.2,499.076,7357.9,1166.94,8594.71,5290.31,4169.42
4.25,7755.84,2691.56,7588.78,3827.96,2295.64,7943.51,5816.73,8396.22,6257.96,8214.74,6655.77,6847.13,834.495,2883.21,2176.58,500.471,7359.28,1168.32,8596.1,5291.71,4170.81
4.3,7757.22,2692.96,7590.17,3829.35,2297.03,7944.9,5818.12,8397.6,6259.35,8216.13,6657.16,6848.52,835.908,2884.6,2177.95,501.866,7360.67,1169.71,8597.49,5293.1,4172.2
4.35,7758.6,2694.36,7591.56,3830.74,2298.42,7946.29,5819.52,8398.97,6260.75,8217.52,6658.55,6849.91,837.322,2885.99,2179.32,503.262,7362.06,1171.1,8598.88,5294.49,4173.59
4.4,7759.99,2695.76,7592.95,3832.13,2299.81,7947.68,5820.91,8400.35,6262.14,8218.91,6659.94,6851.3,838.735,2887.38,2180.69,504.657,7363.45,1172.49,8600.27,5295.88,4174.99
4.45,7761.37,2697.15,7594.34,3833.52,2301.2,7949.07,5822.3,8401.73,6263.53,8220.3,6661.33,6852.69,840.149,2888.77,2182.07,506.052,7364.84,1173.88,8601.66,5297.27,4176.38
4.5,7762.75,2698.55,7595.73,3834.92,2302.59,7950.46,5823.69,8403.11,6264.92,8221.69,6662.73,6854.08,841.562,2890.15,2183.44,507.447,7366.23,1175.27,8603.04,5298.66,4177.77
4.55,7764.13,2699.95,7597.12,3836.31,2303.98,7951.85,5825.08,8404.49,6266.31,8223.08,6664.12,6855.47,842.976,2891.54,2184.81,508.842,7367.62,1176.66,8604.43,5300.06,4179.16
4.6,7765.51,2701.35,7598.51,3837.7,2305.36,7953.24,5826.47,8405.87,6267.7,8224.46,6665.51,6856.86,844.389,2892.93,2186.18,510.237,7369.01,1178.05,8605.82,5301.45,4180.55
4.65,7766.9,2702.75,7599.89,3839.09,2306.75,7954.63,5827.87,8407.25,6269.09,8225.85,6666.9,6858.25,845.803,2894.32,2187.56,511.632,7370.4,1179.43,8607.21,5302.84,4181.94
4.7,7768.28,2704.15,7601.28,3840.48,2308.14,7956.02,5829.26,8408.63,6270.48,8227.24,6668.29,6859.64,847.216,2895.71,2188.93,513.027,7371.78,1180.82,8608.6,5304.23,4183.34
4.75,7769.66,2705.55,7602.67,3841.87,2309.53,7957.41,5830.65,8410,6271.87,8228.63,6669.68,6861.03,848.63,2897.1,2190.3,514.423,7373.17,1182.21,8609.99,5305.62,4184.73
4.8,7771.04,2706.95,7604.06,3843.27,2310.92,7958.8,5832.04,8411.38,6273.27,8230.02,6671.07,6862.43,850.043,2898.49,2191.68,515.818,7374.56,1183.6,8611.38,5307.01,4186.12
4.85,7772.42,2708.35,7605.45,3844.66,2312.31,7960.19,5833.43,8412.76,6274.66,8231.41,6672.46,6863.82,851.457,2899.88,2193.05,517.213,7375.95,1184.99,8612.77,5308.41,4187.51
4.9,7773.81,2709.74,7606.84,3846.05,2313.7,7961.58,5834.82,8414.14,6276.05,8232.8,6673.85,6865.21,852.87,2901.27,2194.42,518.608,7377.34,1186.38,8614.16,5309.8,4188.9
4.95,7775.19,2711.14,7608.23,3847.44,2315.09,7962.97,5836.22,8415.52,6277.44,8234.18,6675.24,6866.6,854.284,2902.65,2195.79,520.003,7378.73,1187.77,8615.54,5311.19,4190.3
5,7776.57,2712.54,7609.62,3848.83,2316.48,7964.36,5837.61,8416.9,6278.83,8235.57,6676.64,6867.99,855.697,2904.04,2197.17,521.398,7380.12,1189.16,8616.93,5312.58,4191.69
5.05,7777.95,2713.94,7611.01,3850.22,2317.86,7965.75,5839,8418.28,6280.22,8236.96,6678.03,6869.38,857.111,2905.43,2198.54,522.793,7381.51,1190.55,8618.32,5313.97,4193.08
5.1,7779.33,2715.34,7612.39,3851.62,2319.25,7967.14,5840.39,8419.66,6281.61,8238.35,6679.42,6870.77,858.524,2906.82,2199.91,524.189,7382.9,1191.93,8619.71,5315.36,4194.47
5.15,7780.72,2716.74,7613.78,3853.01,2320.64,7968.53,5841.78,8421.03,6283,8239.74,6680.81,6872.16,859.938,2908.21,2201.28,525.584,7384.28,1193.32,8621.1,5316.76,4195.86
5.2,7782.1,2718.14,7615.17,3854.4,2322.03,7969.92,5843.17,8422.41,6284.39,8241.13,6682.2,6873.55,861.351,2909.6,2202.66,526.979,7385.67,1194.71,8622.49,5318.15,4197.25
5.25,7783.48,2719.54,7616.56,3855.79,2323.42,7971.31,5844.56,8423.79,6285.79,8242.52,6683.59,6874.94,862.764,2910.99,2204.03,528.374,7387.06,1196.1,8623.88,5319.54,4198.65
5.3,7784.86,2720.94,7617.95,3857.18,2324.81,7972.7,5845.96,8425.17,6287.18,8243.9,6684.98,6876.33,864.178,2912.38,2205.4,529.769,7388.45,1197.49,8625.27,5320.93,4200.04
5.35,7786.24,2722.34,7619.34,3858.57,2326.2,7974.09,5847.35,8426.55,6288.57,8245.29,6686.37,6877.72,865.591,2913.77,2206.78,531.164,7389.84,1198.88,8626.66,5322.32,4201.43
5.4,7787.62,2723.73,7620.73,3859.97,2327.59,7975.48,5848.74,8427.93,6289.96,8246.68,6687.76,6879.11,867.005,2915.15,2208.15,532.559,7391.23,1200.27,8628.04,5323.71,4202.82
5.45,7789.01,2725.13,7622.12,3861.36,2328.98,7976.87,5850.13,8429.31,6291.35,8248.07,6689.16,6880.5,868.418,2916.54,2209.52,533.954,7392.62,1201.66,8629.43,5325.11,4204.21
5.5,7790.39,2726.53,7623.5,3862.75,2330.36,7978.26,5851.52,8430.69,6292.74,8249.46,6690.55,6881.89,869.832,2917.93,2210.89,535.35,7394.01,1203.04,8630.82,5326.5,4205.6
5.55,7791.77,2727.93,7624.89,3864.14,2331.75,7979.65,5852.91,8432.06,6294.13,8250.85,6691.94,6883.28,871.245,2919.32,2212.27,536.745,7395.4,1204.43,8632.21,5327.89,4207
5.6,7793.15,2729.33,7626.28,3865.53,2333.14,7981.04,5854.31,8433.44,6295.52,8252.24,6693.33,6884.67,872.659,2920.71,2213.64,538.14,7396.78,1205.82,8633.6,5329.28,4208.39
5.65,7794.53,2730.73,7627.67,3866.93,2334.53,7982.43,5855.7,8434.82,6296.91,8253.62,6694.72,6886.06,874.072,2922.1,2215.01,539.535,7398.17,1207.21,8634.99,5330.67,4209.78
5.7,7795.92,2732.13,7629.06,3868.32,2335.92,7983.82,5857.09,8436.2,6298.31,8255.01,6696.11,6887.45,875.486,2923.49,2216.38,540.93,7399.56,1208.6,8636.38,5332.06,4211.17
5.75,7797.3,2733.53,7630.45,3869.71,2337.31,7985.21,5858.48,8437.58,6299.7,8256.4,6697.5,6888.85,876.899,2924.88,2217.76,542.325,7400.95,1209.99,8637.77,5333.46,4212.56
5.8,7798.68,2734.93,7631.84,3871.1,2338.7,7986.6,5859.87,8438.96,6301.09,8257.79,6698.89,6890.24,878.313,2926.27,2219.13,543.72,7402.34,1211.38,8639.16,5334.85,4213.95
5.85,7800.06,2736.32,7633.23,3872.49,2340.09,7987.99,5861.26,8440.34,6302.48,8259.18,6700.28,6891.63,879.726,2927.65,2220.5,545.115,7403.73,1212.77,8640.54,5336.24,4215.35
5.9,7801.44,2737.72,7634.62,3873.88,2341.48,7989.38,5862.66,8441.72,6303.87,8260.57,6701.68,6893.02,881.14,2929.04,2221.88,546.511,7405.12,1214.15,8641.93,5337.63,4216.74
5.95,7802.83,2739.12,7636,3875.28,2342.86,7990.77,5864.05,8443.1,6305.26,8261.96,6703.07,6894.41,882.553,2930.43,2223.25,547.906,7406.51,1215.54,8643.32,5339.02,4218.13
6,7804.21,2740.52,7637.39,3876.67,2344.25,7992.16,5865.44,8444.47,6306.65,8263.34,6704.46,6895.8,883.967,2931.82,2224.62,549.301,7407.9,1216.93,8644.71,5340.41,4219.52
6.05,7805.59,2741.92,7638.78,3878.06,2345.64,7993.55,5866.83,8445.85,6308.04,8264.73,6705.85,6897.19,885.38,2933.21,2225.99,550.696,7409.29,1218.32,8646.1,5341.81,4220.91
6.1,7806.97,2743.32,7640.17,3879.45,2347.03,7994.94,5868.22,8447.23,6309.44,8266.12,6707.24,6898.58,886.794,2934.6,2227.37,552.091,7410.67,1219.71,8647.49,5343.2,4222.3
6.15,7808.35,2744.72,7641.56,3880.84,2348.42,7996.33,5869.61,8448.61,6310.83,8267.51,6708.63,6899.97,888.207,2935.99,2228.74,553.486,7412.06,1221.1,8648.88,5344.59,4223.7
6.2,7809.74,2746.12,7642.95,3882.23,2349.81,7997.72,5871.01,8449.99,6312.22,8268.9,6710.02,6901.36,889.621,2937.38,2230.11,554.881,7413.45,1222.49,8650.27,5345.98,4225.09
6.25,7811.12,2747.52,7644.34,3883.63,2351.2,7999.11,5872.4,8451.37,6313.61,8270.29,6711.41,6902.75,891.034,2938.77,2231.49,556.277,7414.84,1223.88,8651.66,5347.37,4226.48
6.3,7812.5,2748.92,7645.73,3885.02,2352.59,8000.5,5873.79,8452.75,6315,8271.68,6712.8,6904.14,892.448,2940.15,2232.86,557.672,7416.23,1225.26,8653.04,5348.76,4227.87
6.35,7813.88,2750.31,7647.12,3886.41,2353.98,8001.89,5875.18,8454.13,6316.39,8273.06,6714.2,6905.53,893.861,2941.54,2234.23,559.067,7417.62,1226.65,8654.43,5350.16,4229.26
