time,N1,N2,N3,N4,N5,N6,N7,N8
15,4218.36,9471.9,371.558,5165.44,230.444,4458.06,2184.84,9261.46
15.05,4219.75,9473.29,372.947,5166.84,231.836,4459.45,2186.23,9262.84
15.1,4221.14,9474.68,374.336,5168.25,233.228,4460.84,2187.62,9264.22
15.15,4222.53,9476.07,375.725,5169.65,234.62,4462.23,2189.02,9265.61
15.2,4223.92,9477.46,377.113,5171.05,236.012,4463.61,2190.41,9266.99
15.25,4225.31,9478.84,378.502,5172.45,237.404,4465,2191.8,9268.37
15.3,4226.7,9480.23,379.891,5173.85,238.796,4466.39,2193.19,9269.75
15.35,4228.09,9481.62,381.28,5175.25,240.188,4467.78,2194.58,9271.13
15.4,4229.47,9483.01,382.669,5176.65,241.58,4469.17,2195.97,9272.51
15.45,4230.86,9484.4,384.058,5178.06,242.972,4470.56,2197.36,9273.89
15.5,4232.25,9485.79,385.447,5179.46,244.364,4471.95,2198.75,9275.27
15.55,4233.64,9487.18,386.836,5180.86,245.756,4473.34,2200.14,9276.65
15.6,4235.03,9488.57,388.225,5182.26,247.147,4474.73,2201.53,9278.03
15.65,4236.42,9489.96,389.613,5183.66,248.539,4476.11,2202.93,9279.41
15.7,4237.81,9491.34,391.002,5185.06,249.931,4477.5,2204.32,9280.79
15.75,4239.2,9492.73,392.391,5186.46,251.323,4478.89,2205.71,9282.17
15.8,4240.59,9494.12,393.78,5187.87,252.715,4480.28,2207.1,9283.55
15.85,4241.98,9495.51,395.169,5189.27,254.107,4481.67,2208.49,9284.93
15.9,4243.37,9496.9,396.558,5190.67,255.499,4483.06,2209.88,9286.31
15.95,4244.76,9498.29,397.947,5192.07,256.891,4484.45,2211.27,9287.69
16,4246.15,9499.68,399.336,5193.47,258.283,4485.84,2212.66,9289.07
16.05,4247.54,9501.07,400.725,5194.87,259.675,4487.23,2214.05,9290.45
16.1,4248.93,9502.46,402.113,5196.27,261.067,4488.61,2215.44,9291.83
16.15,4250.32,9503.84,403.502,5197.68,262.459,4490,2216.84,9293.21
16.2,4251.71,9505.23,404.891,5199.08,263.851,4491.39,2218.23,9294.59
