time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
4.15,2732.45,2603.71,8919.73,400.102,7237.87,3604.6,3800.31,6130.67,439.862,2246.56,4374.08,7862.25,1908.29,4161.19,8814.06,6622.26,4642.01,6267.16,125.01
4.2,2733.84,2605.08,8921.12,401.495,7239.26,3605.99,3801.7,6132.06,441.253,2247.95,4375.48,7863.65,1909.68,4162.58,8815.43,6623.65,4643.39,6268.55,126.429
4.25,2735.23,2606.46,8922.51,402.887,7240.65,3607.37,3803.09,6133.45,442.644,2249.34,4376.87,7865.04,1911.07,4163.97,8816.8,6625.05,4644.78,6269.94,127.849
4.3,2736.62,2607.83,8923.9,404.28,7242.04,3608.76,3804.48,6134.84,444.035,2250.73,4378.26,7866.43,1912.46,4165.35,8818.17,6626.45,4646.17,6271.33,129.269
4.35,2738,2609.2,8925.29,405.672,7243.43,3610.15,3805.87,6136.23,445.427,2252.12,4379.65,7867.82,1913.85,4166.74,8819.53,6627.84,4647.56,6272.71,130.689
4.4,2739.39,2610.58,8926.68,407.065,7244.82,3611.54,3807.25,6137.62,446.818,2253.51,4381.04,7869.21,1915.24,4168.13,8820.9,6629.24,4648.95,6274.1,132.109
4.45,2740.78,2611.95,8928.07,408.458,7246.2,3612.93,3808.64,6139.01,448.209,2254.9,4382.44,7870.6,1916.63,4169.52,8822.27,6630.64,4650.34,6275.49,133.529
4.5,2742.17,2613.33,8929.46,409.85,7247.59,3614.31,3810.03,6140.4,449.6,2256.29,4383.83,7871.99,1918.02,4170.9,8823.64,6632.04,4651.73,6276.88,134.949
4.55,2743.56,2614.7,8930.84,411.243,7248.98,3615.7,3811.42,6141.79,450.992,2257.68,4385.22,7873.38,1919.41,4172.29,8825.01,6633.43,4653.12,6278.27,136.369
4.6,2744.94,2616.07,8932.23,412.635,7250.37,3617.09,3812.81,6143.19,452.383,2259.07,4386.61,7874.78,1920.8,4173.68,8826.38,6634.83,4654.51,6279.66,137.789
4.65,2746.33,2617.45,8933.62,414.028,7251.76,3618.48,3814.2,6144.58,453.774,2260.46,4388,7876.17,1922.19,4175.07,8827.75,6636.23,4655.89,6281.05,139.209
4.7,2747.72,2618.82,8935.01,415.421,7253.15,3619.87,3815.58,6145.97,455.165,2261.85,4389.4,7877.56,1923.58,4176.45,8829.12,6637.62,4657.28,6282.44,140.629
4.75,2749.11,2620.19,8936.4,416.813,7254.54,3621.25,3816.97,6147.36,456.557,2263.24,4390.79,7878.95,1924.97,4177.84,8830.49,6639.02,4658.67,6283.83,142.048
4.8,2750.5,2621.57,8937.79,418.206,7255.93,3622.64,3818.36,6148.75,457.948,2264.63,4392.18,7880.34,1926.36,4179.23,8831.86,6640.42,4660.06,6285.21,143.468
4.85,2751.89,2622.94,8939.18,419.598,7257.32,3624.03,3819.75,6150.14,459.339,2266.01,4393.57,7881.73,1927.75,4180.61,8833.23,6641.82,4661.45,6286.6,144.888
4.9,2753.27,2624.31,8940.57,420.991,7258.7,3625.42,3821.14,6151.53,460.73,2267.4,4394.96,7883.12,1929.14,4182,8834.6,6643.21,4662.84,6287.99,146.308
4.95,2754.66,2625.69,8941.96,422.384,7260.09,3626.81,3822.53,6152.92,462.121,2268.79,4396.36,7884.51,1930.53,4183.39,8835.97,6644.61,4664.23,6289.38,147.728
5,2756.05,2627.06,8943.34,423.776,7261.48,3628.19,3823.91,6154.31,463.513,2270.18,4397.75,7885.9,1931.92,4184.78,8837.34,6646.01,4665.62,6290.77,149.148
5.05,2757.44,2628.44,8944.73,425.169,7262.87,3629.58,3825.3,6155.71,464.904,2271.57,4399.14,7887.3,1933.31,4186.16,8838.71,6647.4,4667.01,6292.16,150.568
5.1,2758.83,2629.81,8946.12,426.561,7264.26,3630.97,3826.69,6157.1,466.295,2272.96,4400.53,7888.69,1934.7,4187.55,8840.08,6648.8,4668.39,6293.55,151.988
5.15,2760.21,2631.18,8947.51,427.954,7265.65,3632.36,3828.08,6158.49,467.686,2274.35,4401.92,7890.08,1936.09,4188.94,8841.45,6650.2,4669.78,6294.94,153.408
5.2,2761.6,2632.56,8948.9,429.346,7267.04,3633.75,3829.47,6159.88,469.078,2275.74,4403.31,7891.47,1937.48,4190.33,8842.82,6651.6,4671.17,6296.33,154.828
5.25,2762.99,2633.93,8950.29,430.739,7268.43,3635.13,3830.85,6161.27,470.469,2277.13,4404.71,7892.86,1938.87,4191.71,8844.19,6652.99,4672.56,6297.71,156.248
5.3,2764.38,2635.3,8951.68,432.132,7269.82,3636.52,3832.24,6162.66,471.86,2278.52,4406.1,7894.25,1940.26,4193.1,8845.56,6654.39,4673.95,6299.1,157.668
5.35,2765.77,2636.68,8953.07,433.524,7271.2,3637.91,3833.63,6164.05,473.251,2279.91,4407.49,7895.64,1941.65,4194.49,8846.92,6655.79,4675.34,6300.49,159.088
5.4,2767.15,2638.05,8954.46,434.917,7272.59,3639.3,3835.02,6165.44,474.643,2281.3,4408.88,7897.03,1943.04,4195.88,8848.29,6657.19,4676.73,6301.88,160.507
5.45,2768.54,2639.42,8955.84,436.309,7273.98,3640.68,3836.41,6166.83,476.034,2282.69,4410.27,7898.43,1944.43,4197.26,8849.66,6658.58,4678.12,6303.27,161.927
5.5,2769.93,2640.8,8957.23,437.702,7275.37,3642.07,3837.8,6168.23,477.425,2284.08,4411.67,7899.82,1945.82,4198.65,8851.03,6659.98,4679.51,6304.66,163.347
5.55,2771.32,2642.17,8958.62,439.095,7276.76,3643.46,3839.18,6169.62,478.816,2285.47,4413.06,7901.21,1947.21,4200.04,8852.4,6661.38,4680.89,6306.05,164.767
5.6,2772.71,2643.55,8960.01,440.487,7278.15,3644.85,3840.57,6171.01,480.208,2286.86,4414.45,7902.6,1948.6,4201.42,8853.77,6662.77,4682.28,6307.44,166.187
5.65,2774.09,2644.92,8961.4,441.88,7279.54,3646.24,3841.96,6172.4,481.599,2288.25,4415.84,7903.99,1949.99,4202.81,8855.14,6664.17,4683.67,6308.83,167.607
5.7,2775.48,2646.29,8962.79,443.272,7280.93,3647.62,3843.35,6173.79,482.99,2289.64,4417.23,7905.38,1951.38,4204.2,8856.51,6665.57,4685.06,6310.21,169.027
5.75,2776.87,2647.67,8964.18,444.665,7282.32,3649.01,3844.74,6175.18,484.381,2291.03,4418.63,7906.77,1952.76,4205.59,8857.88,6666.97,4686.45,6311.6,170.447
5.8,2778.26,2649.04,8965.57,446.057,7283.7,3650.4,3846.13,6176.57,485.773,2292.42,4420.02,7908.16,1954.15,4206.97,8859.25,6668.36,4687.84,6312.99,171.867
