time,N1,N2,N3,N4,N5,N6
16.35,6569.59,761.528,9878.32,9398.92,6324.82,3231.05
16.4,6570.98,762.92,9879.71,9400.31,6326.22,3232.44
16.45,6572.36,764.312,9881.1,9401.7,6327.62,3233.83
16.5,6573.75,765.704,9882.49,9403.09,6329.01,3235.22
16.55,6575.14,767.096,9883.88,9404.48,6330.41,3236.61
16.6,6576.53,768.488,9885.27,9405.87,6331.81,3238
16.65,6577.92,769.88,9886.66,9407.26,6333.2,3239.38
16.7,6579.31,771.272,9888.05,9408.66,6334.6,3240.77
16.75,6580.7,772.663,9889.44,9410.05,6335.99,3242.16
16.8,6582.09,774.055,9890.83,9411.44,6337.39,3243.55
16.85,6583.48,775.447,9892.21,9412.83,6338.79,3244.94
16.9,6584.86,776.839,9893.6,9414.22,6340.18,3246.33
16.95,6586.25,778.231,9894.99,9415.61,6341.58,3247.72
17,6587.64,779.623,9896.38,9417,6342.97,3249.11
17.05,6589.03,781.015,9897.77,9418.39,6344.37,3250.5
17.1,6590.42,782.407,9899.16,9419.79,6345.77,3251.88
17.15,6591.81,783.799,9900.55,9421.18,6347.16,3253.27
17.2,6593.2,785.191,9901.94,9422.57,6348.56,3254.66
17.25,6594.59,786.583,9903.33,9423.96,6349.96,3256.05
17.3,6595.98,787.974,9904.72,9425.35,6351.35,3257.44
17.35,6597.36,789.366,9906.11,9426.74,6352.75,3258.83
17.4,6598.75,790.758,9907.5,9428.13,6354.14,3260.22
17.45,6600.14,792.15,9908.89,9429.53,6355.54,3261.61
17.5,6601.53,793.542,9910.28,9430.92,6356.94,3263
17.55,6602.92,794.934,9911.67,9432.31,6358.33,3264.38
17.6,6604.31,796.326,9913.06,9433.7,6359.73,3265.77
17.65,6605.7,797.718,9914.45,9435.09,6361.12,3267.16
17.7,6607.09,799.11,9915.84,9436.48,6362.52,3268.55
17.75,6608.48,800.502,9917.23,9437.87,6363.92,3269.94
17.8,6609.86,801.893,9918.62,9439.26,6365.31,3271.33
17.85,6611.25,803.285,9920.01,9440.66,6366.71,3272.72
17.9,6612.64,804.677,9921.4,9442.05,6368.11,3274.11
17.95,6614.03,806.069,9922.78,9443.44,6369.5,3275.5
18,6615.42,807.461,9924.17,9444.83,6370.9,3276.88
18.05,6616.81,808.853,9925.56,9446.22,6372.29,3278.27
18.1,6618.2,810.245,9926.95,9447.61,6373.69,3279.66
18.15,6619.59,811.637,9928.34,9449,6375.09,3281.05
18.2,6620.98,813.029,9929.73,9450.4,6376.48,3282.44
18.25,6622.36,814.421,9931.12,9451.79,6377.88,3283.83
18.3,6623.75,815.813,9932.51,9453.18,6379.28,3285.22
18.35,6625.14,817.204,9933.9,9454.57,6380.67,3286.61
18.4,6626.53,818.596,9935.29,9455.96,6382.07,3288
18.45,6627.92,819.988,9936.68,9457.35,6383.46,3289.38
18.5,6629.31,821.38,9938.07,9458.74,6384.86,3290.77
18.55,6630.7,822.772,9939.46,9460.13,6386.26,3292.16
18.6,6632.09,824.164,9940.85,9461.53,6387.65,3293.55
18.65,6633.48,825.556,9942.24,9462.92,6389.05,3294.94
18.7,6634.86,826.948,9943.63,9464.31,6390.44,3296.33
18.75,6636.25,828.34,9945.02,9465.7,6391.84,3297.72
18.8,6637.64,829.732,9946.41,9467.09,6393.24,3299.11
18.85,6639.03,831.124,9947.8,9468.48,6394.63,3300.5
18.9,6640.42,832.515,9949.19,9469.87,6396.03,3301.88
18.95,6641.81,833.907,9950.58,9471.27,6397.43,3303.27
19,6643.2,835.299,9951.96,9472.66,6398.82,3304.66
19.05,6644.59,836.691,9953.35,9474.05,6400.22,3306.05
19.1,6645.98,838.083,9954.74,9475.44,6401.61,3307.44
19.15,6647.36,839.475,9956.13,9476.83,6403.01,3308.83
19.2,6648.75,840.867,9957.52,9478.22,6404.41,3310.22
19.25,6650.14,842.259,9958.91,9479.61,6405.8,3311.61
19.3,6651.53,843.651,9960.3,9481,6407.2,3313
19.35,6652.92,845.043,9961.69,9482.4,6408.6,3314.38
19.4,6654.31,846.435,9963.08,9483.79,6409.99,3315.77
19.45,6655.7,847.827,9964.47,9485.18,6411.39,3317.16
19.5,6657.09,849.218,9965.86,9486.57,6412.78,3318.55
19.55,6658.48,850.61,9967.25,9487.96,6414.18,3319.94
19.6,6659.86,852.002,9968.64,9489.35,6415.58,3321.33
19.65,6661.25,853.394,9970.03,9490.74,6416.97,3322.72
19.7,6662.64,854.786,9971.42,9492.14,6418.37,3324.11
19.75,6664.03,856.178,9972.81,9493.53,6419.76,3325.5
19.8,6665.42,857.57,9974.2,9494.92,6421.16,3326.88
19.85,6666.81,858.962,9975.59,9496.31,6422.56,3328.27
19.9,6668.2,860.354,9976.98,9497.7,6423.95,3329.66
19.95,6669.59,861.746,9978.37,9499.09,6425.35,3331.05
20,6670.98,863.138,9979.76,9500.48,6426.75,3332.44
20.05,6672.36,864.53,9981.14,9501.87,6428.14,3333.83
20.1,6673.75,865.921,9982.53,9503.27,6429.54,3335.22
20.15,6675.14,867.313,9983.92,9504.66,6430.93,3336.61
20.2,6676.53,868.705,9985.31,9506.05,6432.33,3338
20.25,6677.92,870.097,9986.7,9507.44,6433.73,3339.38
20.3,6679.31,871.489,9988.09,9508.83,6435.12,3340.77
20.35,6680.7,872.881,9989.48,9510.22,6436.52,3342.16
20.4,6682.09,874.273,9990.87,9511.61,6437.92,3343.55
20.45,6683.48,875.665,9992.26,9513.01,6439.31,3344.94
20.5,6684.86,877.057,9993.65,9514.4,6440.71,3346.33
20.55,6686.25,878.449,9995.04,9515.79,6442.1,3347.72
20.6,6687.64,879.841,9996.43,9517.18,6443.5,3349.11
20.65,6689.03,881.233,9997.82,9518.57,6444.9,3350.5
20.7,6690.42,882.624,9999.21,9519.96,6446.29,3351.88
20.75,6691.81,884.016,0.598349,9521.35,6447.69,3353.27
20.8,6693.2,885.408,1.98788,9522.74,6449.08,3354.66
20.85,6694.59,886.8,3.37741,9524.14,6450.48,3356.05
20.9,6695.98,888.192,4.76694,9525.53,6451.88,3357.44
20.95,6697.36,889.584,6.15647,9526.92,6453.27,3358.83
21,6698.75,890.976,7.546,9528.31,6454.67,3360.22
21.05,6700.14,892.368,8.93552,9529.7,6456.07,3361.61
21.1,6701.53,893.76,10.3251,9531.09,6457.46,3363
21.15,6702.92,895.152,11.7146,9532.48,6458.86,3364.38
21.2,6704.31,896.544,13.1041,9533.88,6460.25,3365.77
