time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
3.35,1310.92,773.311,4650.86,961.063,6165.08,1103.12,7908.45,7552.7,8970.93,2824.92,8681.79,3083.56,5869.18,6226.61,7284.39,4733.8,9499.34,2463.17,5511.48,2580.45
3.4,1312.32,774.71,4652.26,962.454,6166.47,1104.51,7909.85,7554.08,8972.32,2826.31,8683.18,3084.94,5870.57,6227.99,7285.79,4735.19,9500.73,2464.56,5512.88,2581.84
3.45,1313.71,776.11,4653.67,963.846,6167.86,1105.9,7911.24,7555.47,8973.71,2827.7,8684.57,3086.33,5871.96,6229.38,7287.18,4736.58,9502.12,2465.94,5514.28,2583.23
3.5,1315.11,777.509,4655.07,965.238,6169.26,1107.29,7912.63,7556.86,8975.1,2829.1,8685.95,3087.72,5873.35,6230.77,7288.57,4737.96,9503.51,2467.33,5515.68,2584.62
3.55,1316.5,778.908,4656.47,966.63,6170.65,1108.68,7914.03,7558.25,8976.49,2830.49,8687.34,3089.11,5874.74,6232.16,7289.96,4739.35,9504.9,2468.72,5517.08,2586.01
3.6,1317.9,780.307,4657.88,968.021,6172.05,1110.07,7915.42,7559.64,8977.88,2831.88,8688.73,3090.5,5876.13,6233.55,7291.35,4740.74,9506.29,2470.11,5518.48,2587.4
3.65,1319.29,781.707,4659.28,969.413,6173.44,1111.46,7916.82,7561.03,8979.27,2833.27,8690.11,3091.89,5877.52,6234.94,7292.74,4742.13,9507.68,2471.5,5519.88,2588.79
3.7,1320.69,783.106,4660.68,970.805,6174.84,1112.84,7918.21,7562.42,8980.65,2834.66,8691.5,3093.28,5878.9,6236.33,7294.13,4743.52,9509.07,2472.89,5521.28,2590.18
3.75,1322.08,784.505,4662.09,972.197,6176.23,1114.23,7919.6,7563.81,8982.04,2836.05,8692.89,3094.67,5880.29,6237.72,7295.52,4744.91,9510.46,2474.28,5522.68,2591.56
3.8,1323.48,785.904,4663.49,973.589,6177.63,1115.62,7921,7565.2,8983.43,2837.45,8694.27,3096.06,5881.68,6239.11,7296.91,4746.3,9511.85,2475.66,5524.08,2592.95
3.85,1324.87,787.303,4664.89,974.98,6179.02,1117.01,7922.39,7566.58,8984.82,2838.84,8695.66,3097.44,5883.07,6240.49,7298.3,4747.69,9513.24,2477.05,5525.48,2594.34
3.9,1326.27,788.703,4666.3,976.372,6180.41,1118.4,7923.78,7567.97,8986.21,2840.23,8697.04,3098.83,5884.46,6241.88,7299.7,4749.08,9514.63,2478.44,5526.89,2595.73
3.95,1327.66,790.102,4667.7,977.764,6181.81,1119.79,7925.18,7569.36,8987.6,2841.62,8698.43,3100.22,5885.85,6243.27,7301.09,4750.46,9516.02,2479.83,5528.29,2597.12
4,1329.06,791.501,4669.1,979.156,6183.2,1121.18,7926.57,7570.75,8988.99,2843.01,8699.82,3101.61,5887.24,6244.66,7302.48,4751.85,9517.41,2481.22,5529.69,2598.51
4.05,1330.46,792.9,4670.51,980.547,6184.6,1122.57,7927.96,7572.14,8990.38,2844.4,8701.2,3103,5888.63,6246.05,7303.87,4753.24,9518.81,2482.61,5531.09,2599.9
4.1,1331.85,794.299,4671.91,981.939,6185.99,1123.96,7929.36,7573.53,8991.77,2845.8,8702.59,3104.39,5890.02,6247.44,7305.26,4754.63,9520.2,2483.99,5532.49,2601.29
4.15,1333.25,795.699,4673.31,983.331,6187.39,1125.34,7930.75,7574.92,8993.15,2847.19,8703.98,3105.78,5891.4,6248.83,7306.65,4756.02,9521.59,2485.38,5533.89,2602.68
4.2,1334.64,797.098,4674.72,984.723,6188.78,1126.73,7932.15,7576.31,8994.54,2848.58,8705.36,3107.17,5892.79,6250.22,7308.04,4757.41,9522.98,2486.77,5535.29,2604.06
4.25,1336.04,798.497,4676.12,986.114,6190.17,1128.12,7933.54,7577.7,8995.93,2849.97,8706.75,3108.56,5894.18,6251.61,7309.43,4758.8,9524.37,2488.16,5536.69,2605.45
4.3,1337.43,799.896,4677.52,987.506,6191.57,1129.51,7934.93,7579.08,8997.32,2851.36,8708.13,3109.94,5895.57,6252.99,7310.82,4760.19,9525.76,2489.55,5538.09,2606.84
4.35,1338.83,801.296,4678.92,988.898,6192.96,1130.9,7936.33,7580.47,8998.71,2852.75,8709.52,3111.33,5896.96,6254.38,7312.21,4761.58,9527.15,2490.94,5539.49,2608.23
4.4,1340.22,802.695,4680.33,990.29,6194.36,1132.29,7937.72,7581.86,9000.1,2854.15,8710.91,3112.72,5898.35,6255.77,7313.61,4762.96,9528.54,2492.33,5540.89,2609.62
4.45,1341.62,804.094,4681.73,991.681,6195.75,1133.68,7939.11,7583.25,9001.49,2855.54,8712.29,3114.11,5899.74,6257.16,7315,4764.35,9529.93,2493.71,5542.29,2611.01
4.5,1343.01,805.493,4683.13,993.073,6197.15,1135.07,7940.51,7584.64,9002.88,2856.93,8713.68,3115.5,5901.13,6258.55,7316.39,4765.74,9531.32,2495.1,5543.69,2612.4
4.55,1344.41,806.892,4684.54,994.465,6198.54,1136.46,7941.9,7586.03,9004.27,2858.32,8715.07,3116.89,5902.52,6259.94,7317.78,4767.13,9532.71,2496.49,5545.09,2613.79
4.6,1345.8,808.292,4685.94,995.857,6199.94,1137.84,7943.29,7587.42,9005.65,2859.71,8716.45,3118.28,5903.9,6261.33,7319.17,4768.52,9534.1,2497.88,5546.49,2615.18
4.65,1347.2,809.691,4687.34,997.248,6201.33,1139.23,7944.69,7588.81,9007.04,2861.1,8717.84,3119.67,5905.29,6262.72,7320.56,4769.91,9535.49,2499.27,5547.89,2616.57
4.7,1348.59,811.09,4688.75,998.64,6202.72,1140.62,7946.08,7590.2,9008.43,2862.5,8719.22,3121.06,5906.68,6264.11,7321.95,4771.3,9536.88,2500.66,5549.29,2617.95
4.75,1349.99,812.489,4690.15,1000.03,6204.12,1142.01,7947.48,7591.58,9009.82,2863.89,8720.61,3122.44,5908.07,6265.49,7323.34,4772.69,9538.27,2502.04,5550.69,2619.34
4.8,1351.38,813.888,4691.55,1001.42,6205.51,1143.4,7948.87,7592.97,9011.21,2865.28,8722,3123.83,5909.46,6266.88,7324.73,4774.08,9539.66,2503.43,5552.09,2620.73
4.85,1352.78,815.288,4692.96,1002.82,6206.91,1144.79,7950.26,7594.36,9012.6,2866.67,8723.38,3125.22,5910.85,6268.27,7326.12,4775.46,9541.05,2504.82,5553.5,2622.12
4.9,1354.17,816.687,4694.36,1004.21,6208.3,1146.18,7951.66,7595.75,9013.99,2868.06,8724.77,3126.61,5912.24,6269.66,7327.52,4776.85,9542.44,2506.21,5554.9,2623.51
4.95,1355.57,818.086,4695.76,1005.6,6209.7,1147.57,7953.05,7597.14,9015.38,2869.45,8726.16,3128,5913.63,6271.05,7328.91,4778.24,9543.83,2507.6,5556.3,2624.9
5,1356.97,819.485,4697.17,1006.99,6211.09,1148.96,7954.44,7598.53,9016.77,2870.85,8727.54,3129.39,5915.02,6272.44,7330.3,4779.63,9545.22,2508.99,5557.7,2626.29
5.05,1358.36,820.885,4698.57,1008.38,6212.49,1150.34,7955.84,7599.92,9018.15,2872.24,8728.93,3130.78,5916.4,6273.83,7331.69,4781.02,9546.61,2510.38,5559.1,2627.68
5.1,1359.76,822.284,4699.97,1009.77,6213.88,1151.73,7957.23,7601.31,9019.54,2873.63,8730.31,3132.17,5917.79,6275.22,7333.08,4782.41,9548,2511.76,5560.5,2629.07
5.15,1361.15,823.683,4701.37,1011.17,6215.27,1153.12,7958.62,7602.7,9020.93,2875.02,8731.7,3133.56,5919.18,6276.61,7334.47,4783.8,9549.39,2513.15,5561.9,2630.45
5.2,1362.55,825.082,4702.78,1012.56,6216.67,1154.51,7960.02,7604.08,9022.32,2876.41,8733.09,3134.94,5920.57,6277.99,7335.86,4785.19,9550.78,2514.54,5563.3,2631.84
5.25,1363.94,826.481,4704.18,1013.95,6218.06,1155.9,7961.41,7605.47,9023.71,2877.8,8734.47,3136.33,5921.96,6279.38,7337.25,4786.58,9552.17,2515.93,5564.7,2633.23
5.3,1365.34,827.881,4705.58,1015.34,6219.46,1157.29,7962.81,7606.86,9025.1,2879.2,8735.86,3137.72,5923.35,6280.77,7338.64,4787.96,9553.56,2517.32,5566.1,2634.62
5.35,1366.73,829.28,4706.99,1016.73,6220.85,1158.68,7964.2,7608.25,9026.49,2880.59,8737.25,3139.11,5924.74,6282.16,7340.04,4789.35,9554.95,2518.71,5567.5,2636.01
5.4,1368.13,830.679,4708.39,1018.12,6222.25,1160.07,7965.59,7609.64,9027.88,2881.98,8738.63,3140.5,5926.13,6283.55,7341.43,4790.74,9556.34,2520.09,5568.9,2637.4
5.45,1369.52,832.078,4709.79,1019.52,6223.64,1161.46,7966.99,7611.03,9029.27,2883.37,8740.02,3141.89,5927.52,6284.94,7342.82,4792.13,9557.73,2521.48,5570.3,2638.79
5.5,1370.92,833.478,4711.2,1020.91,6225.04,1162.84,7968.38,7612.42,9030.65,2884.76,8741.41,3143.28,5928.9,6286.33,7344.21,4793.52,9559.12,2522.87,5571.7,2640.18
5.55,1372.31,834.877,4712.6,1022.3,6226.43,1164.23,7969.77,7613.81,9032.04,2886.15,8742.79,3144.67,5930.29,6287.72,7345.6,4794.91,9560.51,2524.26,5573.1,2641.57
5.6,1373.71,836.276,4714,1023.69,6227.82,1165.62,7971.17,7615.2,9033.43,2887.55,8744.18,3146.06,5931.68,6289.11,7346.99,4796.3,9561.9,2525.65,5574.5,2642.95
5.65,1375.1,837.675,4715.41,1025.08,6229.22,1167.01,7972.56,7616.58,9034.82,2888.94,8745.56,3147.44,5933.07,6290.49,7348.38,4797.69,9563.29,2527.04,5575.9,2644.34
5.7,1376.5,839.074,4716.81,1026.48,6230.61,1168.4,7973.96,7617.97,9036.21,2890.33,8746.95,3148.83,5934.46,6291.88,7349.77,4799.08,9564.68,2528.43,5577.3,2645.73
5.75,1377.89,840.474,4718.21,1027.87,6232.01,1169.79,7975.35,7619.36,9037.6,2891.72,8748.34,3150.22,5935.85,6293.27,7351.16,4800.46,9566.07,2529.81,5578.7,2647.12
5.8,1379.29,841.873,4719.62,1029.26,6233.4,1171.18,7976.74,7620.75,9038.99,2893.11,8749.72,3151.61,5937.24,6294.66,7352.55,4801.85,9567.46,2531.2,5580.1,2648.51
5.85,1380.69,843.272,4721.02,1030.65,6234.8,1172.57,7978.14,7622.14,9040.38,2894.5,8751.11,3153,5938.63,6296.05,7353.95,4803.24,9568.85,2532.59,5581.51,2649.9
5.9,1382.08,844.671,4722.42,1032.04,6236.19,1173.96,7979.53,7623.53,9041.77,2895.9,8752.5,3154.39,5940.02,6297.44,7355.34,4804.63,9570.25,2533.98,5582.91,2651.29
5.95,1383.48,846.071,4723.82,1033.43,6237.59,1175.34,7980.92,7624.92,9043.15,2897.29,8753.88,3155.78,5941.4,6298.83,7356.73,4806.02,9571.64,2535.37,5584.31,2652.68
6,1384.87,847.47,4725.23,1034.83,6238.98,1176.73,7982.32,7626.31,9044.54,2898.68,8755.27,3157.17,5942.79,6300.22,7358.12,4807.41,9573.03,2536.76,5585.71,2654.07
6.05,1386.27,848.869,4726.63,1036.22,6240.37,1178.12,7983.71,7627.7,9045.93,2900.07,8756.65,3158.56,5944.18,6301.61,7359.51,4808.8,9574.42,2538.14,5587.11,2655.45
6.1,1387.66,850.268,4728.03,1037.61,6241.77,1179.51,7985.1,7629.08,9047.32,2901.46,8758.04,3159.94,5945.57,6302.99,7360.9,4810.19,9575.81,2539.53,5588.51,2656.84
6.15,1389.06,851.667,4729.44,1039,6243.16,1180.9,7986.5,7630.47,9048.71,2902.85,8759.43,3161.33,5946.96,6304.38,7362.29,4811.58,9577.2,2540.92,5589.91,2658.23
6.2,1390.45,853.067,4730.84,1040.39,6244.56,1182.29,7987.89,7631.86,9050.1,2904.24,8760.81,3162.72,5948.35,6305.77,7363.68,4812.96,9578.59,2542.31,5591.31,2659.62
6.25,1391.85,854.466,4732.24,1041.78,6245.95,1183.68,7989.29,7633.25,9051.49,2905.64,8762.2,3164.11,5949.74,6307.16,7365.07,4814.35,9579.98,2543.7,5592.71,2661.01
6.3,1393.24,855.865,4733.65,1043.18,6247.35,1185.07,7990.68,7634.64,9052.88,2907.03,8763.59,3165.5,5951.13,6308.55,7366.46,4815.74,9581.37,2545.09,5594.11,2662.4
6.35,1394.64,857.264,4735.05,1044.57,6248.74,1186.46,7992.07,7636.03,9054.27,2908.42,8764.97,3166.89,5952.52,6309.94,7367.86,4817.13,9582.76,2546.48,5595.51,2663.79
6.4,1396.03,858.664,4736.45,1045.96,6250.14,1187.84,7993.47,7637.42,9055.65,2909.81,8766.36,3168.28,5953.9,6311.33,7369.25,4818.52,9584.15,2547.86,5596.91,2665.18
6.45,1397.43,860.063,4737.86,1047.35,6251.53,1189.23,7994.86,7638.81,9057.04,2911.2,8767.74,3169.67,5955.29,6312.72,7370.64,4819.91,9585.54,2549.25,5598.31,2666.57
6.5,1398.82,861.462,4739.26,1048.74,6252.92,1190.62,7996.25,7640.2,9058.43,2912.59,8769.13,3171.06,5956.68,6314.11,7372.03,4821.3,9586.93,2550.64,5599.71,2667.95
