time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
8.5,578.976,7445.43,6514.21,9069.1,388.533,7674.01,4447.63,4856.74,288.453,1593.4,4298.7
8.55,580.365,7446.82,6515.6,9070.51,389.925,7675.4,4449.02,4858.13,289.85,1594.79,4300.09
8.6,581.754,7448.21,6516.98,9071.91,391.318,7676.79,4450.41,4859.52,291.246,1596.18,4301.48
8.65,583.143,7449.6,6518.37,9073.31,392.711,7678.18,4451.8,4860.91,292.642,1597.57,4302.87
8.7,584.531,7450.99,6519.76,9074.72,394.103,7679.57,4453.19,4862.3,294.038,1598.97,4304.26
8.75,585.92,7452.38,6521.15,9076.12,395.496,7680.96,4454.58,4863.69,295.434,1600.36,4305.66
8.8,587.309,7453.77,6522.54,9077.53,396.889,7682.35,4455.97,4865.08,296.831,1601.75,4307.05
8.85,588.698,7455.16,6523.93,9078.93,398.281,7683.74,4457.36,4866.47,298.227,1603.14,4308.44
8.9,590.087,7456.55,6525.32,9080.33,399.674,7685.12,4458.75,4867.86,299.623,1604.53,4309.83
8.95,591.476,7457.94,6526.71,9081.74,401.067,7686.51,4460.14,4869.25,301.019,1605.93,4311.22
9,592.865,7459.33,6528.1,9083.14,402.46,7687.9,4461.54,4870.64,302.415,1607.32,4312.61
9.05,594.254,7460.72,6529.48,9084.55,403.852,7689.29,4462.93,4872.04,303.812,1608.71,4314.01
9.1,595.643,7462.11,6530.87,9085.95,405.245,7690.68,4464.32,4873.43,305.208,1610.1,4315.4
9.15,597.031,7463.5,6532.26,9087.35,406.638,7692.07,4465.71,4874.82,306.604,1611.49,4316.79
9.2,598.42,7464.89,6533.65,9088.76,408.03,7693.46,4467.1,4876.21,308,1612.89,4318.18
9.25,599.809,7466.28,6535.04,9090.16,409.423,7694.85,4468.49,4877.6,309.396,1614.28,4319.57
9.3,601.198,7467.67,6536.43,9091.57,410.816,7696.24,4469.88,4878.99,310.793,1615.67,4320.96
9.35,602.587,7469.06,6537.82,9092.97,412.208,7697.62,4471.27,4880.38,312.189,1617.06,4322.35
9.4,603.976,7470.45,6539.21,9094.37,413.601,7699.01,4472.66,4881.77,313.585,1618.45,4323.75
9.45,605.365,7471.84,6540.6,9095.78,414.994,7700.4,4474.05,4883.16,314.981,1619.84,4325.14
9.5,606.754,7473.23,6541.98,9097.18,416.386,7701.79,4475.44,4884.55,316.378,1621.24,4326.53
9.55,608.143,7474.62,6543.37,9098.59,417.779,7703.18,4476.83,4885.94,317.774,1622.63,4327.92
9.6,609.531,7476.01,6544.76,9099.99,419.172,7704.57,4478.22,4887.33,319.17,1624.02,4329.31
9.65,610.92,7477.4,6546.15,9101.4,420.564,7705.96,4479.61,4888.72,320.566,1625.41,4330.7
9.7,612.309,7478.79,6547.54,9102.8,421.957,7707.35,4481.01,4890.11,321.962,1626.8,4332.09
9.75,613.698,7480.18,6548.93,9104.2,423.35,7708.74,4482.4,4891.5,323.359,1628.2,4333.49
9.8,615.087,7481.57,6550.32,9105.61,424.742,7710.12,4483.79,4892.89,324.755,1629.59,4334.88
9.85,616.476,7482.96,6551.71,9107.01,426.135,7711.51,4485.18,4894.28,326.151,1630.98,4336.27
9.9,617.865,7484.35,6553.1,9108.42,427.528,7712.9,4486.57,4895.67,327.547,1632.37,4337.66
9.95,619.254,7485.74,6554.48,9109.82,428.921,7714.29,4487.96,4897.06,328.943,1633.76,4339.05
10,620.643,7487.13,6555.87,9111.22,430.313,7715.68,4489.35,4898.45,330.34,1635.16,4340.44
10.05,622.031,7488.52,6557.26,9112.63,431.706,7717.07,4490.74,4899.84,331.736,1636.55,4341.84
10.1,623.42,7489.91,6558.65,9114.03,433.099,7718.46,4492.13,4901.23,333.132,1637.94,4343.23
10.15,624.809,7491.3,6560.04,9115.44,434.491,7719.85,4493.52,4902.62,334.528,1639.33,4344.62
10.2,626.198,7492.69,6561.43,9116.84,435.884,7721.24,4494.91,4904.01,335.924,1640.72,4346.01
10.25,627.587,7494.08,6562.82,9118.24,437.277,7722.62,4496.3,4905.4,337.321,1642.12,4347.4
10.3,628.976,7495.47,6564.21,9119.65,438.669,7724.01,4497.69,4906.79,338.717,1643.51,4348.79
10.35,630.365,7496.86,6565.6,9121.05,440.062,7725.4,4499.08,4908.18,340.113,1644.9,4350.18
10.4,631.754,7498.26,6566.98,9122.46,441.455,7726.79,4500.47,4909.57,341.509,1646.29,4351.58
10.45,633.143,7499.65,6568.37,9123.86,442.847,7728.18,4501.87,4910.96,342.905,1647.68,4352.97
10.5,634.531,7501.04,6569.76,9125.27,444.24,7729.57,4503.26,4912.36,344.302,1649.07,4354.36
10.55,635.92,7502.43,6571.15,9126.67,445.633,7730.96,4504.65,4913.75,345.698,1650.47,4355.75
10.6,637.309,7503.82,6572.54,9128.07,447.025,7732.35,4506.04,4915.14,347.094,1651.86,4357.14
10.65,638.698,7505.21,6573.93,9129.48,448.418,7733.74,4507.43,4916.53,348.49,1653.25,4358.53
10.7,640.087,7506.6,6575.32,9130.88,449.811,7735.12,4508.82,4917.92,349.887,1654.64,4359.92
10.75,641.476,7507.99,6576.71,9132.29,451.204,7736.51,4510.21,4919.31,351.283,1656.03,4361.32
10.8,642.865,7509.38,6578.1,9133.69,452.596,7737.9,4511.6,4920.7,352.679,1657.43,4362.71
10.85,644.254,7510.77,6579.48,9135.09,453.989,7739.29,4512.99,4922.09,354.075,1658.82,4364.1
10.9,645.643,7512.16,6580.87,9136.5,455.382,7740.68,4514.38,4923.48,355.471,1660.21,4365.49
10.95,647.031,7513.55,6582.26,9137.9,456.774,7742.07,4515.77,4924.87,356.868,1661.6,4366.88
11,648.42,7514.94,6583.65,9139.31,458.167,7743.46,4517.16,4926.26,358.264,1662.99,4368.27
11.05,649.809,7516.33,6585.04,9140.71,459.56,7744.85,4518.55,4927.65,359.66,1664.39,4369.66
11.1,651.198,7517.72,6586.43,9142.11,460.952,7746.24,4519.94,4929.04,361.056,1665.78,4371.06
11.15,652.587,7519.11,6587.82,9143.52,462.345,7747.62,4521.34,4930.43,362.452,1667.17,4372.45
11.2,653.976,7520.5,6589.21,9144.92,463.738,7749.01,4522.73,4931.82,363.849,1668.56,4373.84
11.25,655.365,7521.89,6590.6,9146.33,465.13,7750.4,4524.12,4933.21,365.245,1669.95,4375.23
11.3,656.754,7523.28,6591.98,9147.73,466.523,7751.79,4525.51,4934.6,366.641,1671.34,4376.62
11.35,658.143,7524.67,6593.37,9149.13,467.916,7753.18,4526.9,4935.99,368.037,1672.74,4378.01
11.4,659.531,7526.06,6594.76,9150.54,469.308,7754.57,4528.29,4937.38,369.433,1674.13,4379.41
11.45,660.92,7527.45,6596.15,9151.94,470.701,7755.96,4529.68,4938.77,370.83,1675.52,4380.8
11.5,662.309,7528.84,6597.54,9153.35,472.094,7757.35,4531.07,4940.16,372.226,1676.91,4382.19
11.55,663.698,7530.23,6598.93,9154.75,473.487,7758.74,4532.46,4941.55,373.622,1678.3,4383.58
11.6,665.087,7531.62,6600.32,9156.16,474.879,7760.12,4533.85,4942.94,375.018,1679.7,4384.97
11.65,666.476,7533.01,6601.71,9157.56,476.272,7761.51,4535.24,4944.33,376.414,1681.09,4386.36
11.7,667.865,7534.4,6603.1,9158.96,477.665,7762.9,4536.63,4945.72,377.811,1682.48,4387.75
11.75,669.254,7535.79,6604.48,9160.37,479.057,7764.29,4538.02,4947.11,379.207,1683.87,4389.15
11.8,670.643,7537.18,6605.87,9161.77,480.45,7765.68,4539.41,4948.5,380.603,1685.26,4390.54
11.85,672.031,7538.57,6607.26,9163.18,481.843,7767.07,4540.8,4949.89,381.999,1686.66,4391.93
11.9,673.42,7539.96,6608.65,9164.58,483.235,7768.46,4542.2,4951.28,383.395,1688.05,4393.32
11.95,674.809,7541.35,6610.04,9165.98,484.628,7769.85,4543.59,4952.67,384.792,1689.44,4394.71
12,676.198,7542.74,6611.43,9167.39,486.021,7771.24,4544.98,4954.07,386.188,1690.83,4396.1
12.05,677.587,7544.13,6612.82,9168.79,487.413,7772.62,4546.37,4955.46,387.584,1692.22,4397.49
12.1,678.976,7545.52,6614.21,9170.2,488.806,7774.01,4547.76,4956.85,388.98,1693.62,4398.89
12.15,680.365,7546.91,6615.6,9171.6,490.199,7775.4,4549.15,4958.24,390.376,1695.01,4400.28
12.2,681.754,7548.3,6616.98,9173,491.592,7776.79,4550.54,4959.63,391.773,1696.4,4401.67
12.25,683.143,7549.69,6618.37,9174.41,492.984,7778.18,4551.93,4961.02,393.169,1697.79,4403.06
