time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
7.6,1979.99,1718.27,2225.37,8670.37,5781.34,1226.52,8438.72,8177.38,5667.31,964.304,4299.41,7768.66
7.65,1981.38,1719.67,2226.76,8671.77,5782.73,1227.91,8440.11,8178.77,5668.7,965.692,4300.8,7770.05
7.7,1982.77,1721.07,2228.15,8673.16,5784.12,1229.3,8441.5,8180.16,5670.09,967.081,4302.2,7771.44
7.75,1984.17,1722.47,2229.54,8674.56,5785.52,1230.68,8442.89,8181.55,5671.49,968.47,4303.59,7772.83
7.8,1985.56,1723.87,2230.92,8675.96,5786.91,1232.07,8444.27,8182.94,5672.88,969.859,4304.98,7774.22
7.85,1986.95,1725.27,2232.31,8677.35,5788.3,1233.46,8445.66,8184.33,5674.27,971.247,4306.37,7775.61
7.9,1988.34,1726.66,2233.7,8678.75,5789.69,1234.85,8447.05,8185.72,5675.66,972.636,4307.76,7777
7.95,1989.73,1728.06,2235.09,8680.14,5791.09,1236.24,8448.44,8187.11,5677.05,974.025,4309.16,7778.38
8,1991.12,1729.46,2236.48,8681.54,5792.48,1237.63,8449.83,8188.5,5678.44,975.413,4310.55,7779.77
8.05,1992.51,1730.86,2237.87,8682.93,5793.87,1239.02,8451.22,8189.89,5679.84,976.802,4311.94,7781.16
8.1,1993.91,1732.26,2239.26,8684.33,5795.26,1240.41,8452.61,8191.28,5681.23,978.191,4313.33,7782.55
8.15,1995.3,1733.66,2240.65,8685.73,5796.66,1241.8,8454,8192.68,5682.62,979.58,4314.72,7783.94
8.2,1996.69,1735.06,2242.04,8687.12,5798.05,1243.18,8455.39,8194.07,5684.01,980.968,4316.12,7785.33
8.25,1998.08,1736.46,2243.42,8688.52,5799.44,1244.57,8456.77,8195.46,5685.4,982.357,4317.51,7786.72
8.3,1999.47,1737.86,2244.81,8689.91,5800.84,1245.96,8458.16,8196.85,5686.79,983.746,4318.9,7788.11
8.35,2000.86,1739.26,2246.2,8691.31,5802.23,1247.35,8459.55,8198.24,5688.19,985.134,4320.29,7789.5
8.4,2002.25,1740.66,2247.59,8692.7,5803.62,1248.74,8460.94,8199.63,5689.58,986.523,4321.68,7790.88
8.45,2003.65,1742.05,2248.98,8694.1,5805.01,1250.13,8462.33,8201.02,5690.97,987.912,4323.08,7792.27
8.5,2005.04,1743.45,2250.37,8695.5,5806.41,1251.52,8463.72,8202.41,5692.36,989.301,4324.47,7793.66
8.55,2006.43,1744.85,2251.76,8696.89,5807.8,1252.91,8465.11,8203.8,5693.75,990.689,4325.86,7795.05
8.6,2007.82,1746.25,2253.15,8698.29,5809.19,1254.3,8466.5,8205.19,5695.15,992.078,4327.25,7796.44
8.65,2009.21,1747.65,2254.54,8699.68,5810.58,1255.68,8467.89,8206.59,5696.54,993.467,4328.64,7797.83
8.7,2010.6,1749.05,2255.92,8701.08,5811.98,1257.07,8469.27,8207.98,5697.93,994.856,4330.04,7799.22
8.75,2012,1750.45,2257.31,8702.47,5813.37,1258.46,8470.66,8209.37,5699.32,996.244,4331.43,7800.61
