time,N1
33.85,9818.21
33.9,9819.6
33.95,9821
34,9822.39
34.05,9823.79
34.1,9825.19
34.15,9826.58
34.2,9827.98
34.25,9829.37
34.3,9830.77
34.35,9832.17
34.4,9833.56
34.45,9834.96
34.5,9836.36
34.55,9837.75
34.6,9839.15
34.65,9840.54
34.7,9841.94
34.75,9843.34
34.8,9844.73
34.85,9846.13
34.9,9847.52
34.95,9848.92
35,9850.32
35.05,9851.71
35.1,9853.11
35.15,9854.5
35.2,9855.9
35.25,9857.3
35.3,9858.69
35.35,9860.09
35.4,9861.49
35.45,9862.88
35.5,9864.28
35.55,9865.67
35.6,9867.07
35.65,9868.47
35.7,9869.86
35.75,9871.26
35.8,9872.65
35.85,9874.05
35.9,9875.45
35.95,9876.84
36,9878.24
36.05,9879.63
36.1,9881.03
36.15,9882.43
36.2,9883.82
36.25,9885.22
36.3,9886.62
36.35,9888.01
36.4,9889.41
36.45,9890.8
36.5,9892.2
36.55,9893.6
36.6,9894.99
36.65,9896.39
36.7,9897.78
36.75,9899.18
36.8,9900.58
36.85,9901.97
36.9,9903.37
36.95,9904.76
37,9906.16
37.05,9907.56
37.1,9908.95
37.15,9910.35
37.2,9911.74
37.25,9913.14
37.3,9914.54
37.35,9915.93
37.4,9917.33
37.45,9918.73
37.5,9920.12
37.55,9921.52
37.6,9922.91
37.65,9924.31
37.7,9925.71
37.75,9927.1
37.8,9928.5
37.85,9929.89
37.9,9931.29
37.95,9932.69
38,9934.08
38.05,9935.48
38.1,9936.87
38.15,9938.27
38.2,9939.67
38.25,9941.06
38.3,9942.46
38.35,9943.86
38.4,9945.25
38.45,9946.65
38.5,9948.04
38.55,9949.44
38.6,9950.84
38.65,9952.23
38.7,9953.63
38.75,9955.02
38.8,9956.42
38.85,9957.82
38.9,9959.21
38.95,9960.61
39,9962
39.05,9963.4
39.1,9964.8
39.15,9966.19
39.2,9967.59
39.25,9968.99
39.3,9970.38
39.35,9971.78
39.4,9973.17
39.45,9974.57
39.5,9975.97
39.55,9977.36
39.6,9978.76
39.65,9980.15
39.7,9981.55
39.75,9982.95
39.8,9984.34
39.85,9985.74
39.9,9987.13
39.95,9988.53
40,9989.93
40.05,9991.32
40.1,9992.72
40.15,9994.12
40.2,9995.51
40.25,9996.91
40.3,9998.3
40.35,9999.7
40.4,1.09564
40.45,2.49174
40.5,3.88784
40.55,5.28394
40.6,6.68004
40.65,8.07614
40.7,9.47225
40.75,10.8683
40.8,12.2644
40.85,13.6605
40.9,15.0566
40.95,16.4527
41,17.8488
41.05,19.2449
41.1,20.641
41.15,22.0371
41.2,23.4332
41.25,24.8293
41.3,26.2254
41.35,27.6215
41.4,29.0176
41.45,30.4137
41.5,31.8098
41.55,33.2059
41.6,34.602
41.65,35.9981
41.7,37.3942
41.75,38.7903
41.8,40.1864
41.85,41.5825
41.9,42.9786
41.95,44.3747
42,45.7708
42.05,47.1669
42.1,48.563
42.15,49.9591
42.2,51.3552
42.25,52.7513
42.3,54.1474
42.35,55.5435
42.4,56.9396
42.45,58.3357
42.5,59.7318
42.55,61.1279
42.6,62.524
42.65,63.9201
42.7,65.3162
42.75,66.7123
42.8,68.1084
42.85,69.5045
42.9,70.9006
42.95,72.2967
43,73.6928
43.05,75.0889
43.1,76.485
43.15,77.8811
43.2,79.2772
43.25,80.6733
43.3,82.0694
43.35,83.4655
43.4,84.8616
43.45,86.2577
43.5,87.6537
43.55,89.0498
43.6,90.4459
43.65,91.842
43.7,93.2381
43.75,94.6342
43.8,96.0303
43.85,97.4264
43.9,98.8225
43.95,100.219
44,101.615
44.05,103.011
44.1,104.407
44.15,105.803
44.2,107.199
44.25,108.595
44.3,109.991
44.35,111.387
44.4,112.783
44.45,114.18
44.5,115.576
44.55,116.972
44.6,118.368
44.65,119.764
44.7,121.16
44.75,122.556
44.8,123.952
44.85,125.348
44.9,126.744
44.95,128.14
45,129.537
45.05,130.933
45.1,132.329
45.15,133.725
45.2,135.121
45.25,136.517
45.3,137.913
45.35,139.309
45.4,140.705
45.45,142.101
45.5,143.498
45.55,144.894
45.6,146.29
45.65,147.686
45.7,149.082
45.75,150.478
45.8,151.874
45.85,153.27
45.9,154.666
45.95,156.062
46,157.458
46.05,158.855
46.1,160.251
46.15,161.647
46.2,163.043
46.25,164.439
46.3,165.835
46.35,167.231
46.4,168.627
46.45,170.023
46.5,171.419
46.55,172.815
46.6,174.212
46.65,175.608
46.7,177.004
46.75,178.4
46.8,179.796
46.85,181.192
46.9,182.588
46.95,183.984
47,185.38
47.05,186.776
47.1,188.172
47.15,189.569
47.2,190.965
47.25,192.361
47.3,193.757
47.35,195.153
47.4,196.549
47.45,197.945
47.5,199.341
47.55,200.737
47.6,202.133
47.65,203.529
47.7,204.925
47.75,206.322
47.8,207.718
