time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
6.3,8618.88,2769.63,3100.82,5170.19,8434.4,2968.14,8750.04,7908.66,608.282,4880.86,7149.45,2197.03,873.229
6.35,8620.27,2771.01,3102.21,5171.58,8435.8,2969.53,8751.43,7910.05,609.672,4882.25,7150.84,2198.42,874.618
6.4,8621.66,2772.4,3103.6,5172.97,8437.19,2970.92,8752.81,7911.44,611.062,4883.64,7152.23,2199.81,876.007
6.45,8623.06,2773.79,3104.99,5174.36,8438.59,2972.31,8754.2,7912.82,612.452,4885.03,7153.62,2201.2,877.397
6.5,8624.45,2775.18,3106.38,5175.75,8439.99,2973.7,8755.59,7914.21,613.842,4886.42,7155.01,2202.59,878.786
6.55,8625.85,2776.57,3107.77,5177.14,8441.39,2975.09,8756.98,7915.6,615.232,4887.82,7156.4,2203.98,880.175
6.6,8627.24,2777.96,3109.15,5178.53,8442.79,2976.48,8758.37,7916.99,616.622,4889.21,7157.79,2205.37,881.565
6.65,8628.64,2779.35,3110.54,5179.92,8444.19,2977.87,8759.76,7918.38,618.011,4890.6,7159.18,2206.76,882.954
6.7,8630.03,2780.74,3111.93,5181.31,8445.58,2979.27,8761.15,7919.77,619.401,4891.99,7160.57,2208.14,884.343
6.75,8631.43,2782.13,3113.32,5182.71,8446.98,2980.66,8762.54,7921.16,620.791,4893.38,7161.96,2209.53,885.733
6.8,8632.82,2783.51,3114.71,5184.1,8448.38,2982.05,8763.93,7922.55,622.181,4894.77,7163.36,2210.92,887.122
6.85,8634.21,2784.9,3116.1,5185.49,8449.78,2983.44,8765.31,7923.94,623.571,4896.16,7164.75,2212.31,888.511
6.9,8635.61,2786.29,3117.49,5186.88,8451.18,2984.83,8766.7,7925.32,624.961,4897.56,7166.14,2213.7,889.901
6.95,8637,2787.68,3118.88,5188.27,8452.58,2986.22,8768.09,7926.71,626.351,4898.95,7167.53,2215.09,891.29
7,8638.4,2789.07,3120.27,5189.66,8453.98,2987.61,8769.48,7928.1,627.741,4900.34,7168.92,2216.48,892.679
7.05,8639.79,2790.46,3121.65,5191.05,8455.37,2989,8770.87,7929.49,629.131,4901.73,7170.31,2217.87,894.069
7.1,8641.19,2791.85,3123.04,5192.44,8456.77,2990.4,8772.26,7930.88,630.52,4903.12,7171.7,2219.26,895.458
7.15,8642.58,2793.24,3124.43,5193.83,8458.17,2991.79,8773.65,7932.27,631.91,4904.51,7173.09,2220.65,896.847
7.2,8643.98,2794.63,3125.82,5195.22,8459.57,2993.18,8775.04,7933.66,633.3,4905.91,7174.48,2222.04,898.237
7.25,8645.37,2796.01,3127.21,5196.61,8460.97,2994.57,8776.43,7935.05,634.69,4907.3,7175.87,2223.43,899.626
7.3,8646.77,2797.4,3128.6,5198,8462.37,2995.96,8777.81,7936.44,636.08,4908.69,7177.26,2224.81,901.015
7.35,8648.16,2798.79,3129.99,5199.39,8463.77,2997.35,8779.2,7937.82,637.47,4910.08,7178.65,2226.2,902.405
7.4,8649.55,2800.18,3131.38,5200.78,8465.16,2998.74,8780.59,7939.21,638.86,4911.47,7180.04,2227.59,903.794
7.45,8650.95,2801.57,3132.77,5202.17,8466.56,3000.14,8781.98,7940.6,640.25,4912.86,7181.43,2228.98,905.183
7.5,8652.34,2802.96,3134.15,5203.56,8467.96,3001.53,8783.37,7941.99,641.639,4914.26,7182.82,2230.37,906.573
7.55,8653.74,2804.35,3135.54,5204.95,8469.36,3002.92,8784.76,7943.38,643.029,4915.65,7184.21,2231.76,907.962
7.6,8655.13,2805.74,3136.93,5206.34,8470.76,3004.31,8786.15,7944.77,644.419,4917.04,7185.6,2233.15,909.351
7.65,8656.53,2807.13,3138.32,5207.74,8472.16,3005.7,8787.54,7946.16,645.809,4918.43,7186.99,2234.54,910.74
7.7,8657.92,2808.51,3139.71,5209.13,8473.55,3007.09,8788.93,7947.55,647.199,4919.82,7188.38,2235.93,912.13
7.75,8659.32,2809.9,3141.1,5210.52,8474.95,3008.48,8790.31,7948.94,648.589,4921.21,7189.77,2237.32,913.519
7.8,8660.71,2811.29,3142.49,5211.91,8476.35,3009.87,8791.7,7950.32,649.979,4922.6,7191.16,2238.71,914.908
7.85,8662.11,2812.68,3143.88,5213.3,8477.75,3011.27,8793.09,7951.71,651.369,4924,7192.56,2240.1,916.298
7.9,8663.5,2814.07,3145.27,5214.69,8479.15,3012.66,8794.48,7953.1,652.758,4925.39,7193.95,2241.48,917.687
