time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14
7.6,9329.92,9371.4,2572.66,4100.42,4501.06,6275.63,1360.23,6544.21,7448.73,2162.93,2704.16,8569.75,5548.71,8434.04
7.65,9331.31,9372.79,2574.05,4101.81,4502.45,6277.03,1361.62,6545.6,7450.12,2164.32,2705.55,8571.14,5550.1,8435.43
7.7,9332.7,9374.17,2575.43,4103.2,4503.84,6278.43,1363.01,6546.99,7451.51,2165.71,2706.94,8572.53,5551.49,8436.82
7.75,9334.09,9375.56,2576.81,4104.58,4505.23,6279.82,1364.4,6548.38,7452.91,2167.1,2708.33,8573.92,5552.88,8438.21
7.8,9335.48,9376.95,2578.2,4105.97,4506.61,6281.22,1365.79,6549.76,7454.3,2168.49,2709.72,8575.31,5554.27,8439.6
7.85,9336.87,9378.34,2579.58,4107.36,4508,6282.62,1367.19,6551.15,7455.7,2169.88,2711.1,8576.7,5555.67,8440.99
7.9,9338.26,9379.73,2580.96,4108.75,4509.39,6284.01,1368.58,6552.54,7457.09,2171.26,2712.49,8578.09,5557.06,8442.38
7.95,9339.65,9381.12,2582.35,4110.14,4510.78,6285.41,1369.97,6553.93,7458.48,2172.65,2713.88,8579.48,5558.45,8443.77
8,9341.04,9382.51,2583.73,4111.53,4512.17,6286.81,1371.36,6555.32,7459.88,2174.04,2715.27,8580.86,5559.84,8445.16
8.05,9342.43,9383.9,2585.11,4112.92,4513.56,6288.2,1372.75,6556.71,7461.27,2175.43,2716.66,8582.25,5561.23,8446.55
8.1,9343.82,9385.29,2586.5,4114.31,4514.95,6289.6,1374.14,6558.1,7462.67,2176.82,2718.05,8583.64,5562.62,8447.94
8.15,9345.21,9386.67,2587.88,4115.7,4516.34,6291,1375.54,6559.49,7464.06,2178.21,2719.44,8585.03,5564.01,8449.33
8.2,9346.6,9388.06,2589.26,4117.09,4517.73,6292.39,1376.93,6560.88,7465.45,2179.6,2720.83,8586.42,5565.4,8450.72
8.25,9347.99,9389.45,2590.65,4118.48,4519.12,6293.79,1378.32,6562.26,7466.85,2180.99,2722.22,8587.81,5566.79,8452.11
8.3,9349.38,9390.84,2592.03,4119.87,4520.5,6295.19,1379.71,6563.65,7468.24,2182.38,2723.6,8589.2,5568.19,8453.5
8.35,9350.77,9392.23,2593.42,4121.26,4521.89,6296.58,1381.1,6565.04,7469.64,2183.76,2724.99,8590.59,5569.58,8454.89
8.4,9352.16,9393.62,2594.8,4122.65,4523.28,6297.98,1382.49,6566.43,7471.03,2185.15,2726.38,8591.98,5570.97,8456.28
8.45,9353.55,9395.01,2596.18,4124.04,4524.67,6299.37,1383.89,6567.82,7472.42,2186.54,2727.77,8593.36,5572.36,8457.67
8.5,9354.94,9396.4,2597.57,4125.43,4526.06,6300.77,1385.28,6569.21,7473.82,2187.93,2729.16,8594.75,5573.75,8459.06
8.55,9356.33,9397.79,2598.95,4126.82,4527.45,6302.17,1386.67,6570.6,7475.21,2189.32,2730.55,8596.14,5575.14,8460.45
8.6,9357.72,9399.17,2600.33,4128.21,4528.84,6303.56,1388.06,6571.99,7476.61,2190.71,2731.94,8597.53,5576.53,8461.84
8.65,9359.11,9400.56,2601.72,4129.6,4530.23,6304.96,1389.45,6573.38,7478,2192.1,2733.33,8598.92,5577.92,8463.23
8.7,9360.5,9401.95,2603.1,4130.99,4531.62,6306.36,1390.84,6574.76,7479.39,2193.49,2734.72,8600.31,5579.32,8464.62
8.75,9361.89,9403.34,2604.48,4132.38,4533,6307.75,1392.23,6576.15,7480.79,2194.88,2736.1,8601.7,5580.71,8466.01
8.8,9363.28,9404.73,2605.87,4133.77,4534.39,6309.15,1393.63,6577.54,7482.18,2196.26,2737.49,8603.09,5582.1,8467.4
8.85,9364.67,9406.12,2607.25,4135.16,4535.78,6310.55,1395.02,6578.93,7483.58,2197.65,2738.88,8604.48,5583.49,8468.79
8.9,9366.06,9407.51,2608.63,4136.54,4537.17,6311.94,1396.41,6580.32,7484.97,2199.04,2740.27,8605.87,5584.88,8470.18
8.95,9367.45,9408.9,2610.02,4137.93,4538.56,6313.34,1397.8,6581.71,7486.36,2200.43,2741.66,8607.25,5586.27,8471.57
9,9368.84,9410.29,2611.4,4139.32,4539.95,6314.74,1399.19,6583.1,7487.76,2201.82,2743.05,8608.64,5587.66,8472.96
9.05,9370.23,9411.67,2612.78,4140.71,4541.34,6316.13,1400.58,6584.49,7489.15,2203.21,2744.44,8610.03,5589.05,8474.35
9.1,9371.61,9413.06,2614.17,4142.1,4542.73,6317.53,1401.98,6585.88,7490.55,2204.6,2745.83,8611.42,5590.44,8475.74
9.15,9373,9414.45,2615.55,4143.49,4544.12,6318.93,1403.37,6587.26,7491.94,2205.99,2747.22,8612.81,5591.84,8477.13
9.2,9374.39,9415.84,2616.93,4144.88,4545.5,6320.32,1404.76,6588.65,7493.33,2207.38,2748.6,8614.2,5593.23,8478.52
9.25,9375.78,9417.23,2618.32,4146.27,4546.89,6321.72,1406.15,6590.04,7494.73,2208.76,2749.99,8615.59,5594.62,8479.91
9.3,9377.17,9418.62,2619.7,4147.66,4548.28,6323.11,1407.54,6591.43,7496.12,2210.15,2751.38,8616.98,5596.01,8481.3
